School_ID,School_Name,Zip,School_Type,Administrator_Title,AttendanceBoundaries,Student_Count_Total,Student_Count_Low_Income,Student_Count_Special_Ed,Student_Count_English_Learners,Student_Count_Black,Student_Count_Hispanic,Student_Count_White,Student_Count_Asian,Student_Count_Native_American,Student_Count_Other_Ethnicity,Student_Count_Asian_Pacific_Islander,Student_Count_Multi,Student_Count_Hawaiian_Pacific_Islander,Student_Count_Ethnicity_Not_Available,Demographic_Description,ADA_Accessible,DressCode,PreK_School_Day,Kindergarten_School_Day,Classroom_Languages,BilingualServices,RefugeeServices,Title1Eligible,PreSchoolInclusive,PreschoolInstructional,SignificantlyModified,HardOfHearing,VisualImpairments,School_Latitude,School_Longitude,Average_ACT_School,PercentCollege,PercentGraduate,Overall_Rating,Rating_Status
610109,William Bishop Owen Scholastic Academy ES,60652,Magnet,Principal,FALSE,265,154,30,6,244,17,2,0,0,0,0,2,0,0,The largest demographic at OWEN is Black.  This demographic makes up 92.1% of the student population.  The second greatest demographic is Hispanic at 6.4%.,Generally accessible,TRUE,,Full Day,,,,TRUE,,,TRUE,,,41.74285,-87.705749,,,,Level 1,Good Standing
400051,Noble - Noble College Prep,60622,Charter,Director,FALSE,631,540,74,56,58,554,10,3,4,0,0,2,0,0,The largest demographic at NOBLE - NOBLE HS is Hispanic.  This demographic makes up 87.8% of the student population.  The second greatest demographic is Black at 9.2%.,No/unknown accessibility,TRUE,,,Russian,FALSE,FALSE,TRUE,,,,,,41.900191,-87.662628,21.2,84.7,92.8,Level 1+,Not Applicable
610566,Magic Johnson- North Lawndale HS,60624,Citywide-Option,Principal,FALSE,185,179,40,2,171,10,1,0,1,0,0,1,0,1,The largest demographic at MAGIC JOHNSON - N LAWNDALE HS is Black.  This demographic makes up 92.4% of the student population.  The second greatest demographic is Hispanic at 5.4%.,No/unknown accessibility,FALSE,,,,,,,,,,,,41.866478,-87.706604,12.9,12.5,,Level 2+,Not Applicable
610557,Pathways in Education- Ashburn,60652,Citywide-Option,Principal,FALSE,264,233,25,23,57,174,24,0,4,0,0,2,0,3,The largest demographic at PATHWAYS - ASHBURN HS is Hispanic.  This demographic makes up 65.9% of the student population.  The second greatest demographic is Black at 21.6%.,No/unknown accessibility,FALSE,,,,,,TRUE,,,,,,41.735239,-87.70406,15.1,18.8,0,Level 2,Not Applicable
610066,James E McDade Elementary Classical School,60619,Classical,Principal,FALSE,196,64,9,0,179,3,2,5,0,0,0,6,1,0,The largest demographic at MCDADE is Black.  This demographic makes up 91.3% of the student population.  The second greatest demographic is Other at 3.6%.,Generally accessible,FALSE,,Full Day,,,,FALSE,,,,,,41.73455,-87.619214,,,,Level 1+,Good Standing
400055,Noble - Rauner College Prep,60642,Charter,Director,FALSE,634,522,101,69,83,517,17,1,7,0,0,5,0,4,The largest demographic at NOBLE - RAUNER HS is Hispanic.  This demographic makes up 81.5% of the student population.  The second greatest demographic is Black at 13.1%.,Generally accessible,TRUE,,,Spanish,TRUE,FALSE,TRUE,,,,,,41.892425,-87.660859,20.9,77.2,85.6,Level 1+,Not Applicable
610402,DeVry University Advantage Academy HS,60618,Magnet,Principal,FALSE,194,135,3,1,71,85,21,14,1,0,0,2,0,0,The largest demographic at DEVRY HS is Hispanic.  This demographic makes up 43.8% of the student population.  The second greatest demographic is Black at 36.6%.,Fully Accessible,FALSE,,Full Day,"French, Spanish",TRUE,,TRUE,,,,,,41.941388,-87.690761,21.1,80,,Level 1+,Good Standing
610016,Kate S Kellogg Elementary School,60643,Neighborhood,Principal,TRUE,248,90,35,1,205,6,25,0,2,0,0,10,0,0,The largest demographic at KELLOGG is Black.  This demographic makes up 82.7% of the student population.  The second greatest demographic is White at 10.1%.,No/unknown accessibility,TRUE,,Full Day,,,,FALSE,,,,,,41.725263,-87.677233,,,,Level 1+,Good Standing
610362,Medgar Evers Elementary School,60628,Neighborhood,Principal,TRUE,315,280,45,6,310,4,0,0,0,0,0,0,1,0,The largest demographic at EVERS is Black.  This demographic makes up 98.4% of the student population.  The second greatest demographic is Hispanic at 1.3%.,No/unknown accessibility,TRUE,Half Day,Full Day,,,,TRUE,,,,,,41.715665,-87.639305,,,,Level 1+,Good Standing
609895,Turner-Drew Elementary Language Academy,60620,Magnet,Principal,FALSE,259,183,37,0,254,5,0,0,0,0,0,0,0,0,The largest demographic at TURNER-DREW is Black.  This demographic makes up 98.1% of the student population.  The second greatest demographic is Hispanic at 1.9%.,Generally accessible,TRUE,,Full Day,,,,TRUE,,,,,,41.725609,-87.630164,,,,Level 2+,Good Standing
400047,L.E.A.R.N. - Charles and Dorothy Campbell Campus,60612,Charter,Director,FALSE,427,414,38,5,398,24,1,0,0,0,0,1,0,3,The largest demographic at LEARN - CAMPBELL is Black.  This demographic makes up 93.2% of the student population.  The second greatest demographic is Hispanic at 5.6%.,Fully Accessible,TRUE,,Full Day,,,,TRUE,,,,,,41.877861,-87.698739,,,,Level 2+,Not Applicable
400112,UNO 51st and Homan Charter Elementary School,60632,Charter,Director,FALSE,576,544,31,254,0,573,1,0,2,0,0,0,0,0,The largest demographic at UNO - SOCCER ELEM is Hispanic.  This demographic makes up 99.5% of the student population.  The second greatest demographic is NativeAmer. at 0.3%.,No/unknown accessibility,FALSE,,,,,,TRUE,,,,,,41.801042,-87.708797,,,,Level 1,Not Applicable
610136,William H Prescott Elementary School,60614,Neighborhood,Principal,TRUE,373,151,45,52,48,149,134,20,1,0,0,17,1,3,The largest demographic at PRESCOTT is Hispanic.  This demographic makes up 39.9% of the student population.  The second greatest demographic is White at 35.9%.,No/unknown accessibility,TRUE,Half Day,Full Day,,,,FALSE,,,,,,41.928841,-87.669528,,,,Level 1+,Good Standing
610086,Mount Vernon Elementary School,60643,Neighborhood,Principal,TRUE,261,248,60,1,259,2,0,0,0,0,0,0,0,0,The largest demographic at MOUNT VERNON is Black.  This demographic makes up 99.2% of the student population.  The second greatest demographic is Hispanic at 0.8%.,No/unknown accessibility,TRUE,Full Day,Full Day,,,,TRUE,,,,,,41.701952,-87.647652,,,,Level 2+,Good Standing
