School ID,Name of School,"Elementary, Middle, or High School",ZIP Code,Adequate Yearly Progress Made? ,StandardTrack,OnTrue,CPS Performance Policy Level,Healthy Schools Certified?,Safety Icon ,Safety Score,Family Involvement Icon,Family Involvement Score,Environment Icon ,Environment Score,Instruction Icon ,Instruction Score,Leaders Icon ,Leaders Score ,Teachers Icon ,Teachers Score,Parent Engagement Icon ,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,3 Student Atte-1nce,Rate of Misconducts (per 100 students) ,3 Teacher Atte-1nce,Individualized Education Program Compliance Rate ,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read % ,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,ISAT Value Add Color Math,ISAT Value Add Color Read,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade 3 ACT (2011) ,Net Change PLAN and ACT,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students) ,General Services Route ,Freshman on Track Rate %,Community Area Number,Community Area Name
610038,Abraham Lincoln Elementary School,ES,60614,FALSE,TRUE,FALSE,Level 1,TRUE,5,99,5,99,4,74,4,66,4,65,4,70,4,56,3,47,96.00%,2,96.40%,95.80%,80.1,43.3,89.6,84.9,60.7,62.6,81.9,85.2,52,62.4,66.3,77.9,69.7,64.4,0.2,0.9,Yellow,Green,67.1,54.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,813,33,-1,7,LINCOLN PARK
610281,Adam Clayton Powell Paideia Community Academy Elementary School,ES,60649,FALSE,FALSE,FALSE,Level 1,FALSE,3,54,4,66,4,74,5,84,4,63,4,76,2,46,3,50,95.60%,15.7,95.30%,100.00%,62.4,51.7,21.9,15.1,29,42.8,38.5,27.4,44.8,42.7,14.1,34.4,16.8,16.5,0.7,1.4,Green,Green,17.2,27.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,521,46,-1,43,SOUTH SHORE
610185,Adlai E Stevenson Elementary School,ES,60652,FALSE,TRUE,FALSE,Level 2,FALSE,4,61,-1,-1,3,50,2,36,-1,-1,-1,-1,3,47,2,41,95.70%,2.3,94.70%,98.30%,53.7,26.6,38.3,34.7,43.7,57.3,48.8,39.2,46.8,44,7.5,21.9,18.3,15.5,-0.9,-1,Red,Red,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1324,44,-1,70,ASHBURN
609993,Agustin Lara Elementary Academy,ES,60609,FALSE,FALSE,FALSE,Level 1,FALSE,3,56,3,44,3,45,2,37,4,65,3,48,3,53,4,58,95.50%,10.4,95.80%,100.00%,76.9,-1,26,24.7,61.8,49.7,39.2,27.2,69.7,60.6,9.1,18.2,11.1,9.6,0.9,2.4,Green,Green,42.9,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,556,42,-1,61,NEW CITY
610342,Albert R Sabin Elementary Magnet School,ES,60622,FALSE,TRUE,TRUE,Level 3,FALSE,4,67,-1,-1,2,30,1,18,-1,-1,-1,-1,-1,-1,-1,-1,94.70%,28.1,95.00%,100.00%,56.3,-1,33.5,33.5,49.5,49.5,27.4,39.3,35.5,44.4,25,23.4,18,12.8,-1.8,0.1,Red,Yellow,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,620,35,-1,24,WEST TOWN
610209,Alessandro Volta Elementary School,ES,60625,FALSE,FALSE,FALSE,Level 2,FALSE,3,43,4,61,2,28,2,37,4,62,3,56,3,51,3,53,96.40%,22.5,95.90%,100.00%,63.9,43.2,51.3,32.9,50.7,70,52.5,31.3,59.8,57.6,16.5,24.7,19.9,14.2,0.3,-0.4,Yellow,Yellow,31.6,65.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1023,31,-1,14,ALBANY PARK
609799,Alexander Graham Bell Elementary School,ES,60618,FALSE,TRUE,FALSE,Level 1,FALSE,5,99,5,88,4,64,3,46,3,51,3,51,-1,-1,-1,-1,96.30%,6.3,95.90%,99.30%,91.9,67.3,79.2,77.4,53.3,54.7,84.2,83,49.8,53.6,62.6,71.7,64,57.9,0,0.3,Yellow,Yellow,58.1,65.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,998,35,-1,5,FalseRTH CENTER
609947,Alexander Graham Elementary School,ES,60609,FALSE,TRUE,FALSE,Level 2,FALSE,3,49,2,30,2,31,2,33,2,30,3,41,3,48,3,51,92.50%,27.4,95.00%,92.10%,76.7,47.4,59.4,38.8,51.6,76.2,44.4,31.3,66.7,49.3,5.9,35.3,20.8,11.1,1.7,-0.5,Green,Yellow,45.3,31.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,476,42,-1,61,NEW CITY
609963,Alexander Hamilton Elementary School,ES,60657,FALSE,TRUE,FALSE,Level 2,FALSE,4,73,4,64,4,60,3,59,3,59,3,48,4,57,4,54,95.30%,12.5,97.40%,97.40%,70.3,47.2,34.4,48.4,56.5,62.9,31.9,46.8,48.9,51.1,14.3,35.7,13.8,21.3,0.6,0.6,Yellow,Yellow,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,307,33,-1,6,LAKE VIEW
610210,Alexander von Humboldt Elementary School,ES,60622,FALSE,TRUE,TRUE,Level 3,FALSE,2,31,-1,-1,2,32,3,45,-1,-1,-1,-1,2,43,2,44,92.50%,185.5,96.00%,100.00%,-1,32.6,23.6,24,56.3,54,31.8,19.7,60.7,39.7,9.1,20.5,8.6,5.7,-0.4,-1.2,Yellow,Red,14.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,398,34,-1,24,WEST TOWN
609808,Alex Haley Elementary Academy,ES,60628,FALSE,TRUE,FALSE,Level 2,FALSE,2,28,-1,-1,3,58,4,60,-1,-1,-1,-1,3,47,3,49,94.90%,2.9,94.70%,94.70%,51.6,31.4,17.3,13.6,43.7,41.4,36.3,24.5,64.8,53.9,1.8,16.1,11.6,1.9,0.5,-1.5,Yellow,Red,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,525,48,-1,49,ROSELAND
610028,Alfred David Kohn Elementary School,ES,60628,FALSE,FALSE,TRUE,Level 3,FALSE,1,19,2,26,2,22,1,13,2,21,1,19,3,47,2,45,90.10%,31.2,94.20%,96.40%,41.3,31.9,34,22.2,42.8,56.2,29.6,22.8,80,61.7,4.3,19.6,5,5.6,0.5,-0.1,Yellow,Yellow,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,428,48,-1,49,ROSELAND
610098,Alfred Falsebel Elementary School,ES,60651,FALSE,FALSE,FALSE,Level 2,FALSE,2,37,2,34,2,37,2,35,3,48,2,36,3,48,3,51,94.60%,24.8,95.20%,100.00%,55.4,33.2,26.7,23.2,47.3,50,39.2,28.1,59.5,51,15.2,16.7,9.7,7.1,-0.3,0.7,Yellow,Yellow,23.4,44.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,801,34,-1,23,HUMBOLDT PARK
609788,Alice L Barnard Computer Math & Science Center Elementary School,ES,60643,FALSE,FALSE,FALSE,Level 1,FALSE,3,46,-1,-1,2,39,3,58,-1,-1,-1,-1,4,69,3,51,95.60%,28.5,95.00%,100.00%,62.1,38.5,43,38.8,47.4,61.8,45.6,40.4,49.4,61.4,18.5,29.6,18,15.7,1.9,1.9,Green,Green,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,274,49,-1,72,BEVERLY
610131,Ambrose Plamondon Elementary School,ES,60608,FALSE,FALSE,FALSE,Level 2,FALSE,3,45,-1,-1,2,32,2,28,-1,-1,-1,-1,2,45,2,41,96.90%,0.6,96.60%,100.00%,61.9,14.3,27.3,37.9,35,54.8,43.5,25,74.4,40,16.7,25,12.3,11.4,-1.5,-1.3,Red,Red,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,171,39,-1,29,FalseRTH LAW-1LE
610316,Amelia Earhart Options for KFalsewledge Elementary School,ES,60617,TRUE,FALSE,FALSE,Level 2,FALSE,5,81,4,63,4,60,4,73,2,34,3,54,-1,-1,-1,-1,96.30%,33.4,95.40%,100.00%,76.7,-1,58.1,59.1,66.7,58.1,48.8,67.5,51.3,62.5,-1,-1,27.5,26.4,0.1,1,Yellow,Green,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,264,47,-1,48,CALUMET HEIGHTS
610339,Amos Alonzo Stagg Elementary School,ES,60621,FALSE,FALSE,TRUE,Level 3,FALSE,2,23,2,35,2,35,3,42,2,25,3,42,2,44,3,50,91.40%,34.3,95.50%,100.00%,-1,-1,35.3,22.4,47.6,58.2,20.1,26.8,49.2,43.9,8,23.5,7.7,7.8,-0.4,-0.1,Yellow,Yellow,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,539,45,-1,68,ENGLEWOOD
