School ID,School Name,ZIP,Years on Probation,NWEA or Scantron,Growth Overall Level,Growth Overall Reading and Math,Reading Growth Grade 3,Reading Growth Grade 4,Reading Growth Grade 5,Reading Growth Grade 6,Reading Growth Grade 7,Reading Growth Grade 8,Reading Growth All Grades,Math Growth Grade 3,Math Growth Grade 4,Math Growth Grade 5,Math Growth Grade 6,Math Growth Grade 7,Math Growth Grade 8,Math Growth All Grades,Student Performance Level,Student Performance Reading and Math,Reading Performance Grade 3,Reading Performance Grade 4,Reading Performance Grade 5,Reading Performance Grade 6,Reading Performance Grade 7,Reading Performance Grade 8,Reading Performance All Grades,Math Performance Grade 3,Math Performance Grade 4,Math Performance Grade 5,Math Performance Grade 6,Math Performance Grade 7,Math Performance Grade 8,Math Performance All Grades,Reading Growth African American,Reading Growth Hispanic,Reading Growth White,Reading Growth Students with Disabilities,Reading Growth English Language Learners,Reading Growth Free and Reduced Lunch,Math Growth African American,Math Growth Hispanic,Math Growth White,Math Growth Students with Disabilities,Math Growth English Language Learners,Math Growth Free and Reduced  Lunch,Overall Foundation,Involved Families,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safety,Misconducts Resulting in Suspensions 2011 - Percent,Misconducts Resulting in Suspensions 2012 - Percent,Average Days of Suspension 2011,Average Days of Suspension 2012,Student Attendance 2011 - Percent,Student Attendance 2012 - Percent,Teacher Attendance 2011 - Percent,Teacher Attendance 2012 - Percent,Healthy School Certified,Blue Ribbon Award,Blue Ribbon Award Year
609772,Jane Addams Elementary School,60617,0,NWEA,Above Average,69.70%,48.40%,50%,69.10%,81%,56.50%,62.50%,60.60%,66.30%,70.50%,92.60%,78.50%,74.80%,92.20%,78.90%,Average,48.40%,35.60%,33.30%,54.30%,55%,56.80%,57.50%,49%,35.60%,20.70%,57.10%,52.50%,50.50%,67.60%,47.70%,,60.10%,,,57.30%,60.40%,,78.40%,,,73.30%,79%,Well-organized,Strong,Neutral,Neutral,Strong,Strong,Neutral,73.90%,61.30%,3.4,2.2,96%,95.30%,96.80%,96.90%,No,No,
609773,Louis A Agassiz Elementary School,60657,0,Scantron,Above Average,56.70%,63.80%,63.20%,58.60%,60%,60.90%,52.40%,60.70%,51.10%,62.20%,44.80%,68%,34.80%,52.40%,52.70%,Above Average,62.70%,68.80%,64.10%,61.30%,48%,69.60%,59.10%,62.80%,62.50%,60.50%,61.30%,68%,69.60%,54.50%,62.60%,50.80%,61.50%,71.40%,31%,,53%,50.80%,49.40%,60%,41.50%,,50.90%,Organized,Strong,Weak,Weak,Strong,Strong,Strong,39.70%,29.60%,1.9,2.6,95.20%,95%,96.80%,96.40%,Pending,No,
609774,Louisa May Alcott Elementary School,60614,0,Scantron,Above Average,56.30%,41.20%,53.30%,60.50%,69%,47.40%,76.30%,57.20%,67.90%,56.50%,32.60%,39%,77.80%,58.80%,55.30%,Far Above Average,74.10%,83.60%,76.60%,63.60%,69.80%,67.50%,76.30%,73.40%,83.60%,78.70%,58.10%,64.30%,83.80%,79.40%,74.80%,57.10%,55.10%,57.70%,,,55.10%,42.40%,55.30%,57.30%,,,45.30%,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Strong,63.20%,54.50%,1.7,1.9,96.60%,96.20%,97.10%,96.70%,No,No,
609775,John P Altgeld Elementary School,60636,3,Scantron,Average,48.50%,34%,47.20%,40.40%,39.10%,49.10%,52.20%,43.80%,59.30%,64.80%,35%,49.10%,49.10%,57.80%,53.10%,Far Below Average,27.30%,9.80%,29.60%,20.40%,18.40%,36.20%,33.30%,24.80%,25.50%,40%,22.20%,15%,32.20%,45.70%,29.70%,43.70%,,,39%,,43.70%,52.60%,,,59.10%,,53%,Not Yet Organized,Weak,Neutral,Neutral,Weak,Weak,Weak,67.30%,77.40%,2.7,2.9,91.90%,91%,95.50%,96.10%,No,No,
609777,Phillip D Armour Elementary School,60608,0,NWEA,Above Average,55.80%,47.50%,57.50%,63%,38.50%,26.50%,57.70%,46.60%,80%,57.50%,51.90%,84.60%,49%,76.90%,64.90%,Below Average,35.10%,50%,34.10%,44.40%,29.60%,32%,34.60%,37.40%,52.50%,26.80%,11.10%,37%,28%,38.50%,32.70%,,48.10%,,,40.60%,45.90%,,63.50%,,,65.60%,64.90%,Organized,Neutral,Neutral,Neutral,Strong,Very Strong,Neutral,30.90%,20.70%,3.9,3.7,93.90%,92.30%,95.80%,96.50%,Yes,No,
609779,George Armstrong International Studies ES,60645,0,Scantron,Above Average,66.90%,62.40%,62.90%,62.30%,58.10%,66.10%,72.20%,63.70%,68.20%,71.30%,67.60%,72.30%,74.20%,66.70%,70%,Above Average,55.60%,49.70%,50%,35.60%,43.40%,60.60%,60.20%,49.40%,51.50%,60.10%,56.10%,67.60%,71.70%,68.60%,61.80%,62.20%,61.90%,62.70%,36.60%,54.60%,63.70%,68.30%,69.60%,71.60%,45.90%,60.20%,69.70%,Well-organized,Strong,Neutral,Strong,Strong,Strong,Neutral,81.50%,97.10%,2,2,96.30%,96.40%,96.30%,96.50%,Pending,No,
609780,Ames Middle School,60647,0,Scantron,Above Average,60.20%,,,,,43.70%,59.10%,51.80%,,,,,69.70%,68.20%,68.90%,Below Average,43%,,,,,32.80%,40%,36.50%,,,,,47.10%,52%,49.60%,,52%,,53.20%,48.40%,51.60%,,69.40%,,72.70%,60%,68.90%,Not Yet Organized,Weak,Weak,Weak,Neutral,Neutral,Neutral,50.90%,86.20%,3.5,3.7,94.30%,93.30%,96%,95.80%,No,No,
609781,Crispus Attucks Elementary School,60609,8,Scantron,Below Average,41.40%,32%,43.50%,26.90%,60%,45.50%,52%,41.90%,42.90%,32.10%,35%,61.50%,36.80%,45.80%,40.90%,Far Below Average,15.90%,22.60%,19.20%,6.90%,5%,24%,42.30%,20.40%,6.70%,21.40%,12.50%,5.90%,9.50%,8.30%,11.10%,41.90%,,,,,41.90%,40.90%,,,,,40.90%,Organized,Strong,Weak,Neutral,Strong,Neutral,Neutral,85.30%,39%,3.7,2.6,95.20%,92.70%,93.50%,95.10%,No,No,
609782,John J Audubon Elementary School,60618,0,NWEA,Above Average,63.90%,57.80%,59.60%,63.60%,75%,63.40%,44.20%,60.50%,72.90%,57.90%,85.20%,81.40%,51.20%,51.20%,67.30%,Above Average,68.50%,69.40%,61%,69.60%,74.40%,63.40%,68.20%,67.50%,73.50%,64.40%,76.80%,82.20%,58.50%,59.50%,69.50%,,55.60%,65.50%,62.50%,,58.50%,,64.80%,69.80%,57.60%,,65.10%,Well-organized,Strong,Strong,Neutral,Neutral,Strong,Very Strong,42.30%,,1.3,,96.20%,95.90%,96.70%,96.50%,No,Yes,2011
609786,Avalon Park Elementary School,60619,1,Scantron,Far Below Average,25.60%,20.60%,22.20%,28.10%,18.80%,30.60%,36.80%,26.40%,18.20%,28.60%,17.90%,27.60%,26.50%,29%,24.70%,Far Below Average,14%,10.30%,18.20%,17.60%,3%,9.80%,23.80%,14.20%,10%,20.90%,5.70%,19.40%,16.70%,9.80%,13.80%,26.10%,,,,,26.30%,24.90%,,,,,24.70%,Organized,Neutral,Neutral,Weak,Strong,Strong,Weak,51.30%,45.60%,3,2.7,92.10%,90.50%,96.40%,94.80%,Pending,No,
