School ID,School Name,ZIP,Years on Probation,Growth Overall Level,Growth EXPLORE,Growth PLAN,Growth ACT,Growth All Grades,Student Performance Level,Over Time EXPLORE 2010,Over Time PLAN 2011,Over Time ACT 2012,Average Score EXPLORE 2012,Average Score PLAN 2012,Average Score ACT 2012,5-Year Cohort Graduation Rate 2011 - Percent,5-Year Cohort Graduation Rate 2012 - Percent,One-Year Dropout Rate 2011 - Percent,One-Year Dropout Rate 2012 - Percent,Freshman On-Track to Graduate 2011 - Percent,Freshman On-Track to Graduate 2012 - Percent,College Eligibility 2011 - Percent,College Eligibility 2012 - Percent,College Enrollment 2011 - Percent,College Enrollment 2012 - Percent,College Retention 2009 - Percent,College Retention 2010 - Percent,Overall Foundation,Involved Families,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safety,Misconducts Resulting in Suspensions 2011 - Percent,Misconducts Resulting in Suspensions 2012 - Percent,Average Days of Suspension 2011,Average Days of Suspension 2012,Student Attendance 2011 - Percent,Student Attendance 2012 - Percent,Teacher Attendance 2011 - Percent,Teacher Attendance 2012 - Percent,Healthy School Certified,Blue Ribbon Award,Blue Ribbon Award Year
400018,Austin Business and Entrepreneurship Academy HS,60644,4,Above Average,70.20%,69.60%,54.40%,64%,Far Below Average,12.06,13.04,14.1,11.95,13.27,14.1,65.60%,54.40%,13.80%,6.90%,,,12.20%,,51.30%,54.10%,,47.70%,Partially Organized,Weak,Neutral,Neutral,Neutral,Weak,Neutral,73.20%,28.30%,3.6,2.5,76%,73%,,94.30%,No,,
400022,Chicago High School for the Arts,60616,0,Far Above Average,,,67.10%,66.70%,Below Average,16.15,16.76,19.7,16.49,17.17,19.7,,,2.60%,2.90%,,,,,,,,,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,22.20%,77.10%,3.1,3.6,96.50%,96.10%,,,No,,
400091,Chicago Technology Academy High School,60608,0,Not Enough Data,,,,,Far Below Average,13.38,15.17,15,13,13.66,15,,,8.10%,6.20%,,,,,,,,,Not Yet Organized,Very Weak,Neutral,Neutral,Weak,Weak,Neutral,83%,90.30%,2.7,2,87.50%,84.20%,,,No,,
609674,Chicago Vocational Career Academy High School,60617,11,Above Average,64.50%,74.50%,57.40%,64.50%,Far Below Average,13,13.5,14.7,11.93,13.88,14.7,49.50%,55.20%,6.80%,3.20%,44.10%,71.70%,7%,6.40%,54%,62.30%,62.70%,59.40%,Moderately Organized,Strong,Weak,Neutral,Neutral,Neutral,Weak,37%,47.60%,3.8,3.8,68.80%,80.40%,94.60%,94.30%,No,,
609676,Paul Laurence Dunbar Career Academy High School,60616,12,Average,44.10%,59%,58.60%,53.40%,Far Below Average,12.86,13.78,14.8,12.54,13.76,14.8,61.70%,72%,2.90%,2.70%,65.70%,70.20%,6.90%,7.80%,51.50%,67.70%,61.50%,61.30%,Partially Organized,Neutral,Weak,Weak,Neutral,Neutral,Weak,50.60%,46.90%,3.7,4,76.90%,80.10%,96%,95.60%,No,,
609678,William Jones College Preparatory High School,60605,0,Above Average,,,61.90%,61.70%,Far Above Average,19.69,21.13,25.1,20.8,22.06,25.1,90.10%,87.10%,1.60%,1.50%,92.80%,98%,83.30%,80.70%,86.90%,92.20%,91%,90.80%,Organized,Strong,Strong,Strong,Weak,Weak,Very Strong,24.70%,10.60%,6,4.5,93.80%,93.90%,95.30%,95.30%,No,Yes,2012
609679,Charles Allen Prosser Career Academy High School,60639,0,Average,53.60%,60.50%,62.70%,58.70%,Below Average,15.47,16.26,17.9,15.61,16.05,17.9,78.70%,82.60%,3.50%,3.90%,79.40%,79.70%,27.70%,31.30%,58%,57%,68.80%,69.10%,Organized,Neutral,Neutral,Strong,Neutral,Neutral,Neutral,74%,46.40%,4.9,3.1,86%,85.30%,94.40%,94.90%,No,,
609680,Walter Payton College Preparatory High School,60610,0,Far Above Average,75%,68.80%,,72.70%,Far Above Average,21.41,23.35,27.8,21.95,23.74,27.8,96.90%,90.90%,1.90%,1.90%,90.70%,92.30%,96.40%,93.10%,82.40%,84.60%,96.10%,97.10%,Well-organized,Very Strong,Very Strong,Very Strong,Strong,Strong,Very Strong,23.50%,34.30%,3.8,4.1,93.40%,93.90%,96.10%,96.20%,No,Yes,2008
609682,Ellen H Richards Career Academy High School,60609,17,Average,62.50%,55.90%,53.60%,57.30%,Far Below Average,11.99,12.89,14.8,12.53,14.15,14.8,57.30%,64.80%,1.50%,0.40%,63.50%,80%,5.50%,8.80%,43.10%,52.10%,48.60%,64.80%,Not Yet Organized,Very Weak,Neutral,Weak,Very Weak,Weak,Weak,12.40%,36.50%,4,6,90.60%,85.80%,95.70%,95.30%,Pending,,
609691,North-Grand High School,60639,5,Average,50%,61.10%,58.90%,56.50%,Far Below Average,13.32,14.18,15.4,13.51,14.48,15.4,69.70%,65.90%,2.50%,5.10%,81.30%,76.40%,15.80%,17.20%,41.30%,52.50%,55.40%,57.80%,Partially Organized,Weak,Neutral,Neutral,Neutral,Neutral,Neutral,31.30%,65.40%,2.4,4,88.60%,85.70%,95.60%,96.10%,No,,
609692,Neal F Simeon Career Academy High School,60620,9,Average,47.70%,56.20%,73%,58.70%,Below Average,14.47,14.83,16.9,14.13,15.26,16.9,75.20%,73.50%,5.30%,4.60%,68.50%,66.70%,14.80%,11%,74%,77.20%,72%,70%,Organized,Neutral,Neutral,Neutral,Strong,Neutral,Neutral,93%,97.30%,4.7,4,78.60%,80.60%,94.30%,94.60%,No,,
609693,George Westinghouse High School,60624,0,Above Average,57.50%,68.40%,,63.20%,Average,16.14,17.18,20,17.08,18.63,20,,,1.40%,1.30%,90.50%,90.20%,,,,,,,Well-organized,Strong,Strong,Strong,Very Strong,Strong,Strong,73.20%,72.10%,2.2,2.8,93.60%,93.50%,96.80%,96.50%,No,,
609694,John Hancock College Preparatory High School,60629,6,Above Average,65.20%,56.80%,62.80%,61.90%,Below Average,14.85,15.18,16.9,14.88,15.84,16.9,56.10%,64%,7.20%,3.90%,87.40%,91.80%,22.60%,22%,45.90%,50.60%,66.20%,68.20%,Moderately Organized,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,18.10%,9.70%,2.6,3.7,78.20%,84%,95.90%,96.40%,No,,
609695,Roald Amundsen High School,60625,3,Above Average,47.50%,65.20%,66.30%,60%,Below Average,13.84,14.73,16.8,14.22,14.96,16.8,64.60%,65.10%,6.90%,6%,72.20%,73.80%,16%,22.50%,49.10%,54.40%,69.60%,64.80%,Partially Organized,Neutral,Neutral,Neutral,Weak,Neutral,Neutral,69.50%,89.10%,4.5,4.4,81.10%,82.40%,95.90%,95.60%,No,,
609698,William J Bogan High School,60652,9,Average,55.20%,57.40%,59.40%,57.40%,Far Below Average,13.44,14.28,15.7,13.3,14.12,15.7,52.50%,56%,12.60%,0.30%,67.10%,74.90%,13.10%,11.50%,50%,53.90%,61.70%,63%,Not Yet Organized,Weak,Weak,Weak,Very Weak,Very Weak,Weak,61.30%,24.20%,4.5,4.6,75.20%,80.30%,94.30%,93.80%,No,,
609702,Richard T Crane Technical Preparatory HS,60612,11,Below Average,47.50%,50%,,48.80%,Far Below Average,12.09,13.63,13.8,12.59,13.59,13.8,48%,39.70%,30.70%,24%,40.90%,58.10%,3.70%,7.90%,32.60%,48.10%,44.40%,41.90%,Organized,Strong,Neutral,Neutral,Neutral,Neutral,Neutral,29.40%,45%,4.6,4.4,57.90%,68.80%,93.90%,93.70%,No,,
609704,David G Farragut Career Academy High School,60623,0,Average,58.70%,49%,55.20%,54.30%,Far Below Average,13.01,14.23,15.9,12.84,14.45,15.9,43.20%,47.60%,13.60%,9.30%,68.60%,64.70%,13.40%,16.30%,31.30%,38.90%,61.50%,58.20%,Partially Organized,Weak,Neutral,Neutral,Weak,Neutral,Neutral,16.50%,14%,2.8,3.5,86.10%,83.40%,95.20%,95.20%,No,,
609705,Christian Fenger Academy High School,60628,17,Below Average,47.70%,53.60%,,50.40%,Far Below Average,12.36,13.23,14.1,12.38,14.02,14.1,34.80%,45.10%,19.70%,16.50%,68.20%,71.90%,11.30%,8.60%,36.70%,49.30%,42.90%,49.40%,Partially Organized,Weak,Neutral,Neutral,Neutral,Weak,Neutral,27.80%,21.60%,4.3,4.4,74.40%,77.90%,95.40%,95.10%,Pending,,
609707,Paul Robeson High School,60621,17,Far Below Average,44.30%,42.30%,41.20%,42.50%,Far Below Average,11.74,12.96,13.8,11.06,12.65,13.8,40.60%,43.90%,4.30%,18.60%,53.30%,51.20%,2.90%,8.10%,42.20%,47.40%,48.40%,51.70%,Partially Organized,Weak,Not Enough Data,Not Enough Data,Neutral,Neutral,Not Enough Data,67.20%,64.60%,4.6,5.1,73.50%,74.90%,94.70%,94.50%,No,,
609708,Edwin G Foreman High School,60641,5,Average,46.90%,64.30%,54.30%,55%,Far Below Average,13,13.71,15.4,13.19,14.07,15.4,59.70%,58.50%,6.80%,3.10%,75.60%,68.70%,12.50%,14.60%,40.90%,40.80%,67.20%,63%,Not Yet Organized,Weak,Weak,Weak,Neutral,Weak,Weak,36.90%,35.20%,2.7,3.7,84.30%,82.10%,94.80%,95.20%,No,,
609709,Gage Park High School,60629,17,Average,57.90%,46.60%,52.50%,52.60%,Far Below Average,12.75,13.75,15,12.71,14.05,15,52.80%,49.60%,6.40%,10.60%,46%,73.90%,7.90%,5.10%,40.30%,42%,59.60%,59.90%,Not Yet Organized,Neutral,Weak,Neutral,Weak,Weak,Weak,52%,67.70%,2.9,2.9,72.50%,75.10%,94%,93.10%,No,,
